Rank,Country,EducationIndex,Expected yearsof schooling,Mean years of schooling,HDI rank
1,Australia,0.939,20.4,13.2,2
2,Denmark,0.923,19.2,12.7,5
3,New Zealand,0.917,19.2,12.5,13
4,Norway,0.916,17.7,12.7,1
5,Germany,0.914,17.1,13.2,4
6,Ireland,0.91,18.6,12.3,8
7,Iceland,0.906,19,12.2,9
8,United States,0.9,16.5,13.2,10
9,Netherlands,0.897,18.1,11.9,7
10,United Kingdom,0.896,16.3,13.3,16
11,Switzerland,0.891,16,13.4,2
12,Canada,0.89,16.3,13.1,10
13,Slovenia,0.886,17.3,12.1,25
14,Lithuania,0.882,16.5,12.7,37
15,Czech Republic,0.878,16.8,12.3,28
16,Estonia,0.877,16.5,12.5,30
17,Israel,0.87,16,12.8,19
18,Korea Republic,0.867,16.6,12.2,18
19,Sweden,0.855,16.1,12.3,14
20,Poland,0.852,16.4,11.9,36
21,Finland,0.847,17,11.2,23
22,Japan,0.842,15.3,12.5,17
23,Belgium,0.841,16.6,11.4,22
24,France,0.839,16.3,11.6,21
25,Latvia,0.835,16,11.7,44
26,Belarus,0.834,15.7,12,52
26,Hungary,0.834,15.6,12,43
28,Greece,0.83,17.2,10.5,29
29,Slovakia,0.823,15,12.2,40
30,Hong Kong,0.822,15.7,11.6,12
31,Austria,0.82,15.9,11.3,24
32,Liechtenstein,0.818,14.6,12.4,15
32,Spain,0.818,17.7,9.8,27
34,Russian Federation,0.816,15,12,49
35,Italy,0.814,16.3,10.9,26
35,Singapore,0.814,15.4,11.6,5
37,Argentina,0.808,17.3,9.8,45
37,Palau,0.808,14.3,12.3,60
39,Kazakhstan,0.805,15,11.7,56
40,Ukraine,0.803,15.3,11.3,84
41,Croatia,0.798,15.3,11.2,45
42,Montenegro,0.797,15.1,11.3,48
43,Georgia,0.794,13.9,12.2,70
44,Cyprus,0.786,14.3,11.7,33
45,Chile,0.784,16.3,9.9,38
46,Luxembourg,0.783,13.9,12,20
47,Malta,0.781,14.6,11.3,33
48,Cuba,0.779,13.9,11.8,68
49,Bulgaria,0.778,15,10.8,56
50,Fiji,0.777,15.3,10.5,91
51,Romania,0.769,14.7,10.8,50
52,Barbados,0.773,15.3,10.5,54
53,Saudi Arabia,0.768,16.1,9.6,38
54,Tonga,0.766,14.3,11.1,101
55,Serbia,0.76,14.4,10.8,66
56,Portugal,0.756,16.6,8.9,41
57,Sri Lanka,0.752,14,10.9,73
58,Uzbekistan,0.74,12.2,12,105
59,Mongolia,0.737,14.8,9.8,92
60,Armenia,0.73,12.7,11.3,84
61,Grenada,0.725,15.8,8.6,79
61,Mauritius,0.725,15.2,9.1,64
61,Moldova,0.725,11.8,11.9,107
64,Azerbaijan,0.723,12.7,11.2,78
65,Kyrgyzstan,0.721,13,10.8,120
66,Andorra,0.718,13.5,10.3,32
67,Bahrain,0.717,14.5,9.4,47
67,Trinidad and Tobago,0.717,12.7,10.9,65
67,Uruguay,0.717,15.5,8.6,54
70,Brunei Darussalam,0.716,14.9,9,30
71,Albania,0.715,14.2,9.6,75
71,Bahamas,0.715,12.7,10.9,58
73,Venezuela,0.71,14.3,9.4,71
74,Seychelles,0.706,14.1,9.4,63
75,South Africa,0.705,13,10.3,119
76,Belize,0.704,12.8,10.5,103
76,Iran,0.704,14.8,8.8,69
78,Samoa,0.702,12.9,10.3,104
79,Jordan,0.701,13.1,10.1,86
80,Malaysia,0.7,13.1,10.1,59
81,Qatar,0.698,13.4,9.8,33
82,Antigua and Barbuda,0.694,13.9,9.2,62
82,Bosnia and Herzegovina,0.694,14.2,9,81
84,Panama,0.691,13,9.9,60
85,United Arab Emirates,0.687,13.3,9.5,42
86,Costa Rica,0.684,14.2,8.7,66
87,Brazil,0.681,15.2,7.8,79
88,Jamaica,0.678,12.8,9.6,94
89,Saint Lucia,0.677,13.1,9.3,92
90,Macedonia,0.673,12.9,9.4,82
91,Peru,0.672,13.4,9,87
92,Turkey,0.668,14.6,7.9,71
93,Ecuador,0.665,14,8.3,89
94,Saint Kitts and Nevis,0.659,13.7,8.4,74
95,Algeria,0.658,14.4,7.8,83
95,Botswana,0.658,12.6,9.2,108
95,Tajikistan,0.658,11.3,10.4,129
98,Saint Vincent and the Grenadines,0.657,13.3,8.6,99
99,Bolivia,0.656,13.8,8.2,118
99,Lebanon,0.656,13.3,8.6,76
101,Mexico,0.655,13.3,8.6,77
101,Palestine,0.655,12.8,8.9,114
103,Oman,0.652,13.7,8.1,52
104,Micronesia,0.649,11.7,9.7,127
105,Tunisia,0.643,14.6,7.1,97
106,Thailand,0.641,13.6,7.9,87
107,Philippines,0.637,11.7,9.3,116
108,China,0.631,13.5,7.6,90
109,Colombia,0.63,13.6,7.6,95
109,Suriname,0.63,12.7,8.3,97
111,Turkmenistan,0.629,10.8,9.9,111
112,India,0.624,11.7,6.3,131
113,Dominican Republic,0.622,13.2,7.7,99
113,Indonesia,0.622,12.9,7.9,113
115,Dominica,0.618,12.8,7.9,96
115,Gabon,0.618,12.6,8.1,109
117,Viet Nam,0.617,12.6,8,115
118,Libya,0.616,13.4,7.3,102
119,Paraguay,0.613,12.3,8.1,110
120,Kuwait,0.611,13.3,7.3,51
121,Egypt,0.601,13.1,7.1,111
121,Kiribati,0.59,11.9,7.8,137
123,El Salvador,0.584,13.2,6.5,117
124,Zambia,0.577,12.5,6.9,139
125,Guyana,0.568,10.3,8.4,127
126,Maldives,0.561,12.7,6.2,105
127,Ghana,0.551,11.5,6.9,139
128,Pakistan,0.55,12.1,10.1,147
129,Namibia,0.546,11.7,6.7,125
130,Swaziland,0.545,11.4,6.8,148
131,Zimbabwe,0.544,10.3,7.7,154
132,Nicaragua,0.542,11.7,6.5,124
133,Cabo Verde,0.534,13.5,4.8,122
134,Vanuatu,0.526,10.8,6.8,134
135,Congo,0.52,11.1,6.3,135
136,Honduras,0.518,11.2,6.2,130
136,Kenya,0.518,11.1,6.3,146
138,Sao Tome and Principe,0.509,12,5.3,142
139,Guatemala,0.508,10.7,6.3,125
140,Lesotho,0.503,10.7,6.1,160
140,Morocco,0.503,12.1,5,123
142,Iraq,0.5,10.1,6.6,121
143,Timor-Leste,0.494,12.5,4.4,133
144,Cameroon,0.493,10.4,6.1,153
145,Madagascar,0.492,10.3,6.1,158
146,Togo,0.489,12,4.7,166
147,Angola,0.482,11.4,5,150
148,Nigeria,0.477,10,6,152
149,Democratic Republic of the Congo,0.475,9.8,6.1,176
149,Nepal,0.475,12.2,4.1,144
151,Laos,0.474,10.8,5.2,138
152,Comoros,0.469,11.1,4.8,160
153,Uganda,0.467,10,5.7,163
154,Cambodia,0.459,10.9,4.7,143
155,Bangladesh,0.457,10.2,5.2,139
156,Bhutan,0.452,12.5,3.1,132
157,Malawi,0.445,10.8,4.4,170
157,Solomon Islands,0.445,9.6,5.3,156
159,Tanzania,0.441,8.9,5.8,151
160,Equatorial Guinea,0.439,9.2,5.5,135
161,Rwanda,0.426,10.8,3.8,159
162,Haiti,0.425,9.1,5.2,163
163,Liberia,0.423,9.9,4.4,177
164,Papua New Guinea,0.419,9.9,4.3,154
165,Syrian Arab Republic,0.417,9,5.1,149
166,Cote d'Ivoire,0.415,8.9,5,171
167,Benin,0.414,10.7,3.5,167
168,Myanmar,0.41,9.1,4.7,145
169,Afghanistan,0.398,10.1,3.5,169
170,Burundi,0.395,10.6,3,184
171,Mauritania,0.377,8.5,4.3,157
172,Sierra Leone,0.374,9.5,3.3,179
173,Mozambique,0.369,9.1,3.5,181
174,Gambia,0.358,8.9,3.3,173
175,Senegal,0.355,9.5,2.8,162
176,Guinea-Bissau,0.353,9.2,2.9,178
177,Yemen,0.35,9,3,168
178,Central African Republic,0.338,7.1,4.2,188
179,Guinea,0.33,8.8,2.6,183
180,Ethiopia,0.318,8.4,2.6,174
180,Sudan,0.318,7.2,3.5,165
182,Mali,0.312,8.4,2.3,175
183,Djibouti,0.31,6.3,4.1,172
184,South Sudan,0.297,4.9,4.8,181
185,Chad,0.28,7.3,2.3,186
186,Eritrea,0.267,5,3.9,179
187,Burkina Faso,0.262,7.7,1.4,185
188,Niger,0.206,5.4,1.7,187
